rank,id,category,subcategory,price,image_url,similarity
1,2038,Moterims,Laisvalaikio batai,"53,95","https://img.eobuwie.cloud/product(f/7/4/2/f7426a8fecaa21f7d84d41241cb0f8682fee3254_20_4066765096036_rz.jpg,jpg)/laisvalaikio-batai-adidas-x-plrpulse-ie8476-juoda-0000303909765.jpg",0.8782852292060852
2,2665,Moterims,Laisvalaikio batai,"74,95","https://img.eobuwie.cloud/product(a/5/7/d/a57d75394a0caa60c93c9b1c5790c972c128f61a_20_0196660928911_KC.jpg,jpg)/laisvalaikio-batai-palladium-pallacup-flame-sde-79505-320-m-zalia-0000305532657.jpg",0.8741272687911987
3,19,Moterims,Batai į sporto salę,"64,95","https://img.eobuwie.cloud/product(f/6/b/f/f6bfcba061836f89d05927c7e0711621c2ef5610_20_4068816628166.jpg,jpg)/batai-i-sporto-sale-adidas-dropset-base-kj4198-violetine-0000305637321.jpg",0.8736376762390137
4,76,Moterims,Bėgimo batai,"85,95","https://img.eobuwie.cloud/product(b/4/d/7/b4d72d0a784181421505d0c86076d92cb11fce73_20_4068812361609_KM.jpg,jpg)/begimo-batai-adidas-ultrarun-5-tr-w-jq6925-smelio-0000305636133.jpg",0.8734595775604248
5,893,Moterims,Laisvalaikio batai,"55,95","https://img.eobuwie.cloud/product(c/9/6/e/c96e8359a6392f101e307fd7084d5fa5f2a32bda_20_4067907381140.jpg,jpg)/laisvalaikio-batai-adidas-fortarun-4-0-jq5166-juoda-0000305640161.jpg",0.8724164962768555
6,1534,Moterims,Laisvalaikio batai,"37,95","https://img.eobuwie.cloud/product(7/f/a/c/7fac8f57507d06db49cb2c21381497f551c1e685_20_4067904498124.jpg,jpg)/laisvalaikio-batai-adidas-ultimashow-2-0-jh6100-juoda-0000304619625.jpg",0.8695303201675415
7,2667,Moterims,Batai į sporto salę,"110,95","https://img.eobuwie.cloud/product(8/d/7/c/8d7c4bd13aa6013e650f8b5aaf15d95010330ac9_20_4068802830115.jpg,jpg)/batai-i-sporto-sale-adidas-dropset-3-strength-training-jr1675-pilka-0000305194435.jpg",0.8684743642807007
